YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Total,Age(years),Education,Sex,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2023,2020,NC,North Carolina,Survey,Health Status,Alcohol Use,Percentage affected,Rate per 100k,Crude,70.91,21.96,†,Suppressed,8.13,99.08,1420,5760,26-35,Some College,Female,High,White,"(32.2161, -84.2910)",3,4,2,8,198,Race,Group A,3,2
2012,2020,CA,Illinois,Health Report,Risk Factors,Smoking,Incidence rate,Rate per 100k,Age-adjusted,39.43,12.58,,,10.64,53.76,3513,5158,18-25,Graduate,Female,Low,Asian,"(26.4113, -73.3256)",4,7,2,6,138,Sex,Group B,1,1
2023,2018,TX,Washington,Census,Prevention,Alcohol Use,Incidence rate,Rate per 100k,Age-adjusted,25.9,22.39,,Suppressed,22.55,88.26,3473,2548,18-25,Some College,Female,Low,Hispanic,"(40.8226, -123.2931)",5,3,2,1,25,Income,Group C,2,1
2019,2013,WA,Florida,Census,Health Status,Diabetes,Awareness level,%,Crude,61.7,37.96,*,Estimate,4.04,93.49,433,2625,26-35,Some College,Male,Low,Hispanic,"(35.6350, -107.2283)",7,8,6,8,130,Race,Group C,4,2
2022,2024,WA,Florida,Health Report,Risk Factors,Obesity,Awareness level,%,Age-adjusted,11.31,29.07,†,Suppressed,40.39,79.4,4083,4523,26-35,High School,Male,Low,White,"(42.0773, -71.9866)",2,8,7,9,166,Income,Group B,1,2
2012,2021,NC,North Carolina,Health Report,Prevention,Obesity,Percentage affected,Rate per 100k,Age-adjusted,51.91,58.13,*,Suppressed,32.58,67.72,4587,4608,36-50,Some College,Female,High,White,"(34.2672, -81.1592)",4,3,7,9,167,Age,Group A,4,3
2022,2018,FL,Florida,Survey,Risk Factors,Diabetes,Percentage affected,%,Crude,57.5,43.11,*,,36.1,70.28,76,5064,50+,High School,Male,Low,Other,"(34.4107, -99.9680)",6,1,7,6,2,Age,Group C,4,4
2010,2021,IL,New York,Health Report,Risk Factors,Diabetes,Incidence rate,Rate per 100k,Age-adjusted,11.1,72.23,†,Suppressed,12.51,57.8,3810,5218,50+,High School,Female,Medium,Hispanic,"(27.4605, -117.2939)",8,1,6,7,11,Age,Group C,3,3
2021,2014,CA,Georgia,Health Report,Risk Factors,Obesity,Incidence rate,Rate per 100k,Age-adjusted,94.24,94.84,,,46.8,85.02,1195,6208,36-50,High School,Female,High,Other,"(38.4094, -123.1988)",5,8,5,8,148,Age,Group C,2,2
2012,2020,TX,Texas,Survey,Health Status,Smoking,Awareness level,%,Crude,2.43,70.1,†,,24.02,71.91,1638,4024,26-35,Some College,Female,Medium,Black,"(40.6158, -79.5324)",9,7,6,9,145,Sex,Group B,1,4
